broker_name,channel_type,performance_tier,business_segment,risk_level,sales_units,cancel_units,net_units,total_transactions,net_value,sales_value,cancel_value,cancel_rate_pct,sales_rate_pct,conversion_rate,avg_ticket_size,avg_sales_ticket,avg_cancel_ticket,revenue_per_transaction,share_of_total_value_pct,share_of_total_units_pct,share_of_sales_value_pct,revenue_rank,volume_rank,efficiency_rank,revenue_score,volume_score,quality_score,overall_performance_score,efficiency_vs_market,growth_potential
Direct,Direct,Platinum,Key Partner,Medium Risk,498,117,381,615,85339995814.98001,77897026849.98001,-7442968965.0,23.49,80.98,80.98,223989490.33,156419732.63,-63615119.36,138764220.84,17.51,14.46,17.41,1,1,146,40.0,30.0,28.2,98.2,21.0,High
Broker 25,Broker,Bronze,Regular Partner,Low Risk,64,6,58,70,13986776009.55,13287833716.689999,-698942292.86,9.38,91.43,91.43,241151310.51,207622401.82,-116490382.14,199811085.85,2.87,2.2,2.97,2,4,115,6.6,4.6,29.3,40.5,30.3,Very High
Broker 47,Broker,Bronze,Regular Partner,Medium Risk,78,16,62,94,8971614028.53,7622435400.170001,-1349178628.3600001,20.51,82.98,82.98,144703452.07,97723530.77,-84323664.27,95442702.43,1.84,2.35,1.7,3,3,318,4.2,4.9,28.5,37.6,-21.8,Low
Broker 217,Broker,Bronze,Regular Partner,Low Risk,57,6,51,63,8015264147.399999,7406548833.149999,-608715314.25,10.53,90.48,90.48,157162042.11,129939453.21,-101452552.38,127226415.04,1.64,1.94,1.66,4,5,294,3.8,4.0,29.2,37.0,-15.1,Medium
Broker 10,Broker,Basic,Regular Partner,Medium Risk,36,7,29,43,6726165627.17,5799916261.68,-926249365.49,19.44,83.72,83.72,231936745.76,161108785.05,-132321337.93,156422456.45,1.38,1.1,1.3,5,8,128,3.2,2.3,28.5,34.0,25.3,High
Broker 136,Broker,Bronze,Regular Partner,Excellent,29,1,28,30,6553918366.709999,6272959185.209999,-280959181.5,3.45,96.67,96.67,234068513.1,216308937.42,-280959181.5,218463945.56,1.34,1.06,1.4,6,9,123,3.1,2.2,29.7,35.0,26.5,Very High
Broker 97,Broker,Basic,Regular Partner,Medium Risk,20,4,16,24,6225876354.790001,5032337727.370001,-1193538627.42,20.0,83.33,83.33,389117272.17,251616886.37,-298384656.86,259411514.78,1.28,0.61,1.12,7,16,33,2.9,1.3,28.5,32.7,110.2,Medium
Broker 142,Broker,Basic,Regular Partner,Excellent,27,0,27,27,6020147782.8,6020147782.8,0.0,0.0,100.0,100.0,222968436.4,222968436.4,0.0,222968436.4,1.23,1.03,1.35,8,10,148,2.8,2.1,30.0,34.9,20.5,Very High
Broker 11,Broker,Bronze,Regular Partner,Excellent,40,2,38,42,5806368170.79,5417953266.09,-388414904.7,5.0,95.24,95.24,152799162.39,135448831.65,-194207452.35,138246861.21,1.19,1.44,1.21,9,7,306,2.7,3.0,29.6,35.3,-17.4,Medium
Broker 102,Broker,Bronze,Regular Partner,Excellent,81,1,80,82,5293935874.26,5194472455.97,-99463418.29,1.23,98.78,98.78,66174198.43,64129289.58,-99463418.29,64560193.59,1.09,3.04,1.16,10,2,483,2.5,6.3,29.9,38.7,-64.2,High
Broker 90,Broker,Basic,Regular Partner,Medium Risk,34,6,28,40,4898737195.839999,4370839941.969999,-527897253.87,17.65,85.0,85.0,174954899.85,128554115.94,-87982875.64,122468429.9,1.0,1.06,0.98,11,9,249,2.3,2.2,28.7,33.2,-5.5,Low
Broker 252,Broker,Basic,Emerging Partner,Excellent,15,0,15,15,4245421217.18,4245421217.18,0.0,0.0,100.0,100.0,283028081.15,283028081.15,0.0,283028081.15,0.87,0.57,0.95,12,17,63,2.0,1.2,30.0,33.2,52.9,High
Broker 101,Broker,Basic,Emerging Partner,Excellent,24,1,23,25,3933437292.0400004,3852776617.9100003,-80660674.13,4.17,96.0,96.0,171019012.7,160532359.08,-80660674.13,157337491.68,0.81,0.87,0.86,13,11,259,1.8,1.8,29.7,33.3,-7.6,Medium
Broker 271,Broker,Basic,Emerging Partner,Excellent,3,0,3,3,3792314754.08,3792314754.08,0.0,0.0,100.0,100.0,1264104918.03,1264104918.03,0.0,1264104918.03,0.78,0.11,0.85,14,29,3,1.8,0.2,30.0,32.0,583.0,High
Broker 137,Broker,Basic,Emerging Partner,High Risk,26,7,19,33,3769551864.4400005,2952831876.0200005,-816719988.4200001,26.92,78.79,78.79,198397466.55,113570456.77,-116674284.06,114228844.38,0.77,0.72,0.66,15,13,182,1.8,1.5,28.0,31.3,7.2,Low
Broker 159,Broker,Basic,Emerging Partner,Medium Risk,16,3,13,19,3515416190.11,2961109943.46,-554306246.6500001,18.75,84.21,84.21,270416630.01,185069371.47,-184768748.88,185021904.74,0.72,0.49,0.66,16,19,74,1.6,1.0,28.6,31.2,46.1,Medium
Broker 98,Broker,Basic,Emerging Partner,Excellent,16,1,15,17,3467827828.7000003,3229428397.8,-238399430.9,6.25,94.12,94.12,231188521.91,201839274.86,-238399430.9,203989872.28,0.71,0.57,0.72,17,17,129,1.6,1.2,29.5,32.3,24.9,High
Broker 22,Broker,Basic,Emerging Partner,Medium Risk,16,3,13,19,3404685787.6100006,2826177107.6800003,-578508679.9300001,18.75,84.21,84.21,261898906.74,176636069.23,-192836226.64,179193988.82,0.7,0.49,0.63,18,19,82,1.6,1.0,28.6,31.2,41.5,Medium
Broker 351,Broker,Basic,Emerging Partner,Excellent,21,1,20,22,3298593481.7599998,3183539633.66,-115053848.1,4.76,95.45,95.45,164929674.09,151597125.41,-115053848.1,149936067.35,0.68,0.76,0.71,19,12,274,1.5,1.6,29.6,32.7,-10.9,Medium
